SongTitle,ArtistName,AlbumName,Rating,Time
The Only Living Boy in New York,Simon & Garfunkel,Collected Works,7,242
And I Love Her,The Beatles,1962-1966,3,151
Change of the Guard,Steely Dan,Citizen,1,219
Come Together,The Beatles,1967-1970,3,259
"Dance, Dance, Dance",The Beach Boys,20 Good Vibrations,4,120
Don't Let the Sun Go Down on Me,Elton John,The Very Best of Elton John,0,338
Fortunate Son,Creedence Clearwater Revival,Chronicle Vol 1,3,140
Fragile,Sting,Fields Of Gold,1,233
Girl Come Running,The Four Seasons,Gold Vault Of Hits,3,181
Going for the One,Yes,Highlights,0,333
"Hello, Goodbye",The Beatles,1967-1970,0,209
Hold on Tight,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,1,187
I Can't Tell You Why,Eagles,Hell Freezes Over,4,311
I'm a Believer,Neil Diamond,The Essential Neil Diamond,9,163
In My Life,The Beatles,1962-1966,10,147
Kiss the Bride,Elton John,The Very Best of Elton John,3,235
Look Away,Chicago,The Heart of Chicago 1967-1997,7,241
Mountain Music,Alabama,For the Record Disc 1,10,218
Picasso's Last Words (Drink to Me),Paul McCartney & Wings,Band on the Run,6,351
Something Like That,Tim McGraw,Place in the Sun,9,183
Spirits in the Material World,The Police,Every Breath You Take,2,178
Squeeze Box,The Who,Who's Greatest Hits,4,163
Why Don't You Write Me,Simon & Garfunkel,Collected Works,5,165
Betrayed,The Four Seasons,Gold Vault Of Hits,5,181
Bye Bye Love,Simon & Garfunkel,Collected Works,4,175
"Changes in Latitudes, Changes in Attitudes",Jimmy Buffett,#N/A,6,197
Do You Wanna Dance?,The Beach Boys,20 Good Vibrations,8,138
Double Vision,Foreigner,The Very Best And Beyond,3,224
Eight Days a Week,The Beatles,1962-1966,4,165
Every Breath You Take,The Police,Every Breath You Take,1,252
Girl,The Beatles,1962-1966,4,151
Here in My Heart,Chicago,The Heart of Chicago 1967-1997,10,256
Livin' Thing,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,2,212
New York Minute,Eagles,Hell Freezes Over,0,397
